epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,2250.41,1.31175,2.23588,1.01297,1.22642,0.51114,0.42928,0.42878,0.21253,0.50129,0.41156,0.38147,0.15865,1.65086,2.74873,1.48226,1.74359,0.00150197,0.00150197,0.00150197
22,2357.05,1.30038,2.21318,0.98797,1.21209,0.44767,0.46349,0.42507,0.21842,0.48869,0.41714,0.39579,0.17294,1.58861,2.71234,1.46401,1.67763,0.00149372,0.00149372,0.00149372
23,2464.24,1.27247,2.16868,0.96741,1.20136,0.54563,0.40759,0.44889,0.23434,0.55285,0.39937,0.39188,0.16911,1.56938,2.74068,1.42651,1.67946,0.00148546,0.00148546,0.00148546
24,2571.31,1.25907,2.13958,0.93773,1.18783,0.4839,0.50183,0.4663,0.23985,0.47558,0.4826,0.41664,0.18474,1.61078,2.63409,1.43482,1.71151,0.00147721,0.00147721,0.00147721
25,2678.62,1.25227,2.11802,0.93769,1.18529,0.44876,0.47821,0.44348,0.21199,0.4776,0.40231,0.37698,0.1624,1.70501,2.85548,1.49345,1.7678,0.00146896,0.00146896,0.00146896
26,2784.8,1.23212,2.09554,0.90928,1.17573,0.53911,0.45268,0.47495,0.2431,0.51098,0.48371,0.44684,0.19042,1.60831,2.76064,1.40793,1.71315,0.00146071,0.00146071,0.00146071
27,2891.84,1.21125,2.05037,0.87569,1.16998,0.57429,0.40731,0.42679,0.21661,0.59815,0.39683,0.39925,0.17286,1.65165,2.78697,1.45165,1.75327,0.00145246,0.00145246,0.00145246
28,2998.42,1.20438,2.04501,0.87707,1.1595,0.47357,0.52821,0.48674,0.24341,0.4215,0.47584,0.40668,0.17241,1.62304,2.78721,1.38341,1.73938,0.00144421,0.00144421,0.00144421
29,3104.58,1.19,2.02176,0.85663,1.15496,0.57282,0.50777,0.48103,0.23542,0.5207,0.47603,0.40502,0.17197,1.64144,2.81994,1.46165,1.76134,0.00143595,0.00143595,0.00143595
30,3211.15,1.17819,2.00092,0.83864,1.1441,0.57079,0.48704,0.47461,0.2306,0.58276,0.43721,0.41845,0.18146,1.65883,2.82396,1.444,1.77353,0.0014277,0.0014277,0.0014277
31,3317.87,1.14983,1.95965,0.81562,1.12794,0.5848,0.53131,0.51893,0.25268,0.53457,0.48626,0.44097,0.18358,1.63145,2.72699,1.34861,1.72827,0.00141945,0.00141945,0.00141945
32,3424.7,1.1597,1.95228,0.8092,1.13304,0.58064,0.50508,0.51828,0.25343,0.55511,0.45783,0.4291,0.19104,1.60791,2.68958,1.35299,1.72939,0.0014112,0.0014112,0.0014112
33,3531.94,1.13479,1.91773,0.79239,1.11783,0.50548,0.49922,0.49938,0.26027,0.51288,0.44952,0.42159,0.19003,1.57987,2.70887,1.31853,1.72043,0.00140295,0.00140295,0.00140295
34,3639.53,1.14523,1.9178,0.8027,1.1291,0.57479,0.46681,0.48214,0.24072,0.5554,0.44092,0.42114,0.17486,1.63899,2.79942,1.36603,1.77191,0.0013947,0.0013947,0.0013947
