encoder,aid,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,brier_soft_mean,brier_hard_mean,ece_mean,n_folds
clip-vit-l14,Mobility scooter,0.44584887334887335,0.16259866705878584,0.49404761904761896,0.14725377234348788,0.06826242431998253,0.5425520660280115,0.20754117857326163,5
clip-vit-l14,Manual wheelchair,0.5571428571428572,0.1024390754172235,0.575,0.11043872517437255,0.08702298402786254,0.4898636939110636,0.2578250999884172,5
clip-vit-l14,Motorized wheelchair,0.5287751137751139,0.146865940396876,0.5766666666666667,0.12183777921664711,0.10935205072164536,0.5039653501572723,0.24440533567558637,5
dinov2-base,Walking cane,0.4931862745098039,0.17898531708227802,0.55,0.21829869671542776,0.07195306532084941,0.38577249498689936,0.23353553847833114,5
dinov2-base,Walker,0.5096392496392497,0.20350704960818303,0.5428571428571429,0.1744524963117116,0.07921343669295311,0.5311843644225618,0.23502316827123812,5
dinov2-base,Mobility scooter,0.4703227328227328,0.13031827874724378,0.5678571428571428,0.12254389745197876,0.0627139762043953,0.5304765102201469,0.2559474086219614,5
dinov2-base,Manual wheelchair,0.4080000718236012,0.0589165090986776,0.5345238095238095,0.11831021619554172,0.08209869265556335,0.49517237246078205,0.2102382803505117,5
dinov2-base,Motorized wheelchair,0.5985353535353536,0.12034670012847501,0.6366666666666667,0.08589399151150084,0.1017973892390728,0.5701385275164783,0.2737987659736113,5
dinov2-large,Walking cane,0.6400754903850879,0.1623963026985676,0.711111111111111,0.1596678651466657,0.06123065911233425,0.3727803765108312,0.24253168718381363,5
dinov2-large,Walker,0.6665384615384615,0.1606756170672782,0.6761904761904762,0.14771502256424857,0.0698311224579811,0.5010236696771576,0.3010637748241424,5
dinov2-large,Mobility scooter,0.6555372405372405,0.18113439079005303,0.6654761904761906,0.18726459144986368,0.050682281330227855,0.4921098429468388,0.22966936116868802,5
dinov2-large,Manual wheelchair,0.530952380952381,0.21770258634148848,0.5744047619047619,0.26403355624022806,0.08578723669052124,0.5305116291932498,0.2738325746492906,5
dinov2-large,Motorized wheelchair,0.5734598734598736,0.1056669229941379,0.5833333333333334,0.10852547064066469,0.10646995007991791,0.5469222837898751,0.23963413444432344,5
siglip2-base,Walking cane,0.46073013415892666,0.11978444813124567,0.5,0.2078698548207745,0.0789071686565876,0.41081111358762934,0.1932917457818985,5
siglip2-base,Walker,0.5738278388278388,0.10352416309598873,0.5940476190476192,0.12001983962979582,0.08221929147839546,0.5234141378528061,0.2523929437724026,5
siglip2-base,Mobility scooter,0.4594083694083694,0.0673160961938635,0.513095238095238,0.03417309546287455,0.05740096494555473,0.5461360439647652,0.26398991736498745,5
siglip2-base,Manual wheelchair,0.44375673346261585,0.20652333102170534,0.4744047619047619,0.2166176030267233,0.08850367665290833,0.5522832536029467,0.26224013594063844,5
siglip2-base,Motorized wheelchair,0.570963480963481,0.11284559559866111,0.5733333333333334,0.11185307823708343,0.10378940999507905,0.5589467108825593,0.25158024630763315,5
siglip2-so400m,Walking cane,0.5108462332301341,0.14995667600535686,0.5055555555555555,0.1319371343004213,0.062280944734811786,0.3759528669611153,0.27651413673704317,5
siglip2-so400m,Walker,0.5995421245421245,0.16394231120901626,0.6,0.15083854803628993,0.06923245713114738,0.47574328425010115,0.18142603419043804,5
siglip2-so400m,Mobility scooter,0.6011327561327561,0.09021767348193299,0.6130952380952381,0.07788298682760059,0.04708870276808739,0.5325407067927295,0.3015732579881495,5
siglip2-so400m,Manual wheelchair,0.5295751633986928,0.21248346788209305,0.5440476190476191,0.1827041615771145,0.06059453785419464,0.4939605567647577,0.23898993735963647,5
siglip2-so400m,Motorized wheelchair,0.6515151515151516,0.11526609132350717,0.6599999999999999,0.11575836902790225,0.09014621526002883,0.5000955963070448,0.3202642834728414,5
vit-b16-sup,Walking cane,0.4084967320261438,0.0348311440378411,0.4,0.0415739709641549,0.06478066369891167,0.3790416354326872,0.2086110666665164,5
vit-b16-sup,Walker,0.6026284826284826,0.08339208561758446,0.6166666666666666,0.08833622123375787,0.08213419765233994,0.5115063736384842,0.20886577617038382,5
vit-b16-sup,Mobility scooter,0.5293206793206793,0.20088373361275047,0.555952380952381,0.20707442766818002,0.06117337718605995,0.5323919990918485,0.27726247039708224,5
vit-b16-sup,Manual wheelchair,0.4294179894179894,0.15942338920747812,0.488095238095238,0.15313938858308435,0.0754629872739315,0.5214960709062417,0.2623915408958088,5
vit-b16-sup,Motorized wheelchair,0.4422170422170423,0.25282285308267954,0.5133333333333334,0.22370615647416692,0.13328565955162047,0.6021328803623011,0.2794123963876204,5
