encoder,aid,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,brier_soft_mean,brier_hard_mean,ece_mean,n_folds
clip-vit-b16,Walking cane,0.41424148606811145,0.038340125276564,0.4111111111111111,0.056655772373253165,0.05862700529396534,0.37842965397275263,0.2747117724201896,5
clip-vit-b16,Walker,0.5424691974691975,0.11279974994130328,0.5607142857142857,0.13349267689495367,0.08456385284662246,0.5140945238143889,0.1587306256727739,5
clip-vit-b16,Mobility scooter,0.5370962370962371,0.11320716709200682,0.5892857142857142,0.07022800573215536,0.047763437032699585,0.5105886440910702,0.24585009797052906,5
clip-vit-b16,Manual wheelchair,0.532044997486174,0.19906316518626893,0.5732142857142857,0.12603876774650205,0.06962082386016846,0.46207253221774003,0.21386323527856305,5
clip-vit-b16,Motorized wheelchair,0.46887205387205383,0.17884185049021495,0.5,0.16431676725154984,0.13917357176542283,0.5922594120490283,0.22969533367590472,5
clip-vit-b32,Walking cane,0.5127726178190575,0.14591651553816257,0.5555555555555556,0.19563129846287786,0.0512704286724329,0.35408889944296085,0.26990288940342994,5
clip-vit-b32,Walker,0.6254761904761905,0.17299482906825206,0.636904761904762,0.17226976156104506,0.06555636003613471,0.4732674752736724,0.24635064184665684,5
clip-vit-b32,Mobility scooter,0.5440445665445666,0.21228443606223363,0.5547619047619048,0.17791147891877507,0.04354876056313515,0.5057137376994494,0.2644489536502144,5
clip-vit-b32,Manual wheelchair,0.4594444444444445,0.081187178942807,0.5339285714285714,0.10557047274950172,0.05931864157319069,0.43783305319436094,0.20246385942805895,5
clip-vit-b32,Motorized wheelchair,0.509023569023569,0.1552167955632172,0.5733333333333334,0.0847217668475922,0.10274026244878769,0.5168574535704127,0.20404752948067406,5
clip-vit-l14,Walking cane,0.6183479532163743,0.21442918213086318,0.6722222222222223,0.23333333333333334,0.06065128520131111,0.34716740220404,0.22311236213554034,5
clip-vit-l14,Walker,0.5028571428571429,0.1022579549101371,0.5190476190476191,0.09870189203892442,0.07592640742659569,0.4857249806259404,0.2593324708396738,5
