split,city,image_path,nearest_audit_cosine,above_audit_p90
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2056.jpg,0.5470594,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2092.jpg,0.73492694,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2093.jpg,0.41253948,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2159.jpg,0.37427986,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2161.jpg,0.39427984,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2173.jpg,0.35300648,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2175.jpg,0.52604884,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2276.jpg,0.4498217,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2393.jpg,0.44866335,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2455.jpg,0.40048808,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2457.jpg,0.4199698,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2461.jpg,0.39797807,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2509.jpg,0.4200076,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2510.jpg,0.4200076,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2566.jpg,0.45445704,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2569.jpg,0.4384389,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_2830.jpg,0.4568081,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3033.jpg,0.40050566,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3035.jpg,0.36056024,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3128.jpg,0.49125737,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3131.jpg,0.4679643,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3137.jpg,0.44831574,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3162.jpg,0.6597382,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3782.jpg,0.4159041,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3784.jpg,0.43325353,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3802.jpg,0.49954236,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3861.jpg,0.4120525,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3902.jpg,0.46575773,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3911.jpg,0.43365735,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3913.jpg,0.4046532,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4496.jpg,0.43951494,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4623.jpg,0.49541497,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4665.jpg,0.36508912,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4743.jpg,0.4521016,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4797.jpg,0.4844318,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7121.jpg,0.44419098,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7303.jpg,0.8092003,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7315.jpg,0.45127666,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7317.jpg,0.63232416,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7380.jpg,0.502135,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7625.jpg,0.6265812,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7761.jpg,0.6405664,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7844.jpg,0.6179496,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8023.jpg,0.5089372,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8538.jpg,0.5131624,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8545.jpg,0.5520489,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8748.jpg,0.5836323,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8754.jpg,0.5193139,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_10017.jpg,0.40749127,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_10975.jpg,0.39861405,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_11616.jpg,0.62371635,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_11617.jpg,0.5466033,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_11619.jpg,0.66313255,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4229.jpg,0.528426,False
