encoder,aid,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,brier_soft_mean,brier_hard_mean,ece_mean,n_folds
dinov2-base,Mobility scooter,0.6679939668174962,0.14333751019154445,0.6785714285714286,0.1535206634440732,0.26455357670783997,0.422985173914479,0.231816808310422,5
dinov2-base,Manual wheelchair,0.5738608776844071,0.148867083135837,0.6214285714285713,0.14890949023208405,0.29129046499729155,0.4544373234858415,0.2503052441640334,5
dinov2-base,Motorized wheelchair,0.6642102342102343,0.16257074239581282,0.6666666666666666,0.1622754859285078,0.22957170009613037,0.5227727516339453,0.2731844392689792,5
dinov2-large,Walking cane,0.4887418300653595,0.10039363020603238,0.5444444444444445,0.17708197167232476,0.21090470552444457,0.3372066697102685,0.18485742157155818,5
dinov2-large,Walker,0.6750086188321482,0.07467127331481765,0.6928571428571428,0.09572790710940302,0.2346232533454895,0.3668618084350295,0.2369957087256692,5
dinov2-large,Mobility scooter,0.7459426847662142,0.13575597618688717,0.7511904761904763,0.1318368399991155,0.2420549750328064,0.3882266291854913,0.2343147988752885,5
dinov2-large,Manual wheelchair,0.5021942110177404,0.15439904127946943,0.556547619047619,0.1613523489102846,0.304115828871727,0.5419294690680287,0.3034381348436529,5
dinov2-large,Motorized wheelchair,0.6521212121212121,0.03858850273874332,0.6533333333333333,0.039999999999999994,0.27245049476623534,0.5556912546074236,0.2517239933664149,5
siglip2-base,Walking cane,0.4584210526315789,0.020814442035037038,0.48888888888888893,0.022222222222222233,0.19698033928871156,0.29202757277851343,0.19187029069120232,5
siglip2-base,Walker,0.7002874902874903,0.15342863534124637,0.7119047619047618,0.1419914244799676,0.23138639628887175,0.3455742362397314,0.20128418001261625,5
siglip2-base,Mobility scooter,0.5866596638655462,0.1413319853681879,0.5976190476190476,0.11478067422089475,0.24504190683364868,0.42277072355941037,0.22252629377625205,5
siglip2-base,Manual wheelchair,0.571797385620915,0.1502423160596414,0.5815476190476191,0.1302007650861735,0.2350515067577362,0.39628679452403553,0.2251551081917503,5
siglip2-base,Motorized wheelchair,0.6638383838383838,0.11267883902129733,0.67,0.10974718422102883,0.2337927669286728,0.46247854879545364,0.2890877653251995,5
siglip2-so400m,Walking cane,0.4525146198830409,0.010872475868316762,0.47777777777777775,0.027216552697590882,0.20754536986351013,0.3188121155176458,0.18269004572521555,5
siglip2-so400m,Walker,0.6687362637362637,0.21712294389964293,0.6714285714285715,0.21310521391919648,0.2651339054107666,0.3935306353328546,0.22426756847988477,5
siglip2-so400m,Mobility scooter,0.5192007992007992,0.1288259438884059,0.5321428571428571,0.11165118178755574,0.243813419342041,0.5061334806611983,0.3036709379066121,5
siglip2-so400m,Manual wheelchair,0.4829920389208315,0.09967586693379625,0.5232142857142856,0.09302487902660142,0.2701513260602951,0.4684387633320748,0.2723152886737477,5
siglip2-so400m,Motorized wheelchair,0.6522222222222221,0.12658850874334002,0.66,0.12409673645990857,0.29284858107566836,0.49091136325170864,0.25748833602125,5
vit-b16-sup,Walking cane,0.5127726178190575,0.14591651553816257,0.5555555555555556,0.19563129846287786,0.21806692481040954,0.3175348440961808,0.19436757802963256,5
vit-b16-sup,Walker,0.6818115218115219,0.13290925682429283,0.6845238095238095,0.1250283414582488,0.2875625669956207,0.47710643175498824,0.27028168244795364,5
vit-b16-sup,Mobility scooter,0.6061294261294261,0.13318512965413737,0.630952380952381,0.10157490003667399,0.26849868297576907,0.4864551225420207,0.26963844331828035,5
vit-b16-sup,Manual wheelchair,0.5530392156862745,0.0747624714907579,0.5547619047619048,0.06267266399149939,0.259419310092926,0.4450963853620943,0.2909077240120281,5
vit-b16-sup,Motorized wheelchair,0.5086957486957487,0.26734156172075485,0.5233333333333333,0.26407069760451146,0.3355803370475769,0.7357142781785745,0.40893091277642685,5
