encoder,aid,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,brier_soft_mean,brier_hard_mean,ece_mean,n_folds
clip-vit-b16,Walking cane,0.4337564499484004,0.029896645470317066,0.4444444444444445,0.049690399499995326,0.2122229367494583,0.3512200964757391,0.2051358711719513,5
clip-vit-b16,Walker,0.5364194139194138,0.1535633509663014,0.5666666666666667,0.15242744826351645,0.2526143163442612,0.42994858492021654,0.2574136920408769,5
clip-vit-b16,Mobility scooter,0.5688949938949939,0.18700151910405383,0.6166666666666666,0.1710975640306827,0.2047897458076477,0.44241808869324395,0.215199692140926,5
clip-vit-b16,Manual wheelchair,0.5623554550025138,0.14528024226139938,0.6083333333333333,0.10655593210453683,0.24492607414722442,0.44458427698668845,0.21918228875507012,5
clip-vit-b16,Motorized wheelchair,0.6184848484848484,0.21594901278979078,0.62,0.215870331449229,0.2804010421037674,0.5700834040076046,0.3403821358897469,5
clip-vit-b32,Walking cane,0.4525730994152046,0.0197868329428541,0.47777777777777775,0.027216552697590882,0.22949550151824952,0.32875418510179266,0.17860693595626137,5
clip-vit-b32,Walker,0.7609523809523809,0.041042260173891586,0.7571428571428571,0.04380564164993834,0.2132737636566162,0.31965653788358894,0.22888807979497044,5
clip-vit-b32,Mobility scooter,0.557703081232493,0.18196299207999544,0.5892857142857142,0.14335231641419396,0.23435718715190887,0.4241349526405444,0.24556901985948737,5
clip-vit-b32,Manual wheelchair,0.675,0.07406828681096324,0.6666666666666666,0.0733617369235792,0.2429745763540268,0.39187940673975735,0.23848073580048296,5
clip-vit-b32,Motorized wheelchair,0.6386996336996338,0.11541774627552771,0.6500000000000001,0.10219806477837262,0.23372110426425935,0.4444989362661801,0.19581211816180838,5
clip-vit-l14,Walking cane,0.4525146198830409,0.01087247586831676,0.47777777777777775,0.027216552697590882,0.2003191202878952,0.26367463187219037,0.1661262478611686,5
clip-vit-l14,Walker,0.7069047619047619,0.10805537339170536,0.6988095238095238,0.09885971186679378,0.22142075896263122,0.3811311976062,0.22421759952198372,5
clip-vit-l14,Mobility scooter,0.6978474466709761,0.15314377371685345,0.7035714285714286,0.1518218911136177,0.23939087688922883,0.3989524617280704,0.2538101954893633,5
clip-vit-l14,Manual wheelchair,0.5225443510737628,0.16255002791582746,0.569047619047619,0.1682155916102041,0.2494763195514679,0.42830024064402383,0.26882931362498885,5
clip-vit-l14,Motorized wheelchair,0.5970057720057721,0.13333134112427497,0.61,0.12454361128179604,0.2403698205947876,0.4726648030232644,0.2533602944287387,5
dinov2-base,Walking cane,0.44597867217062265,0.01986397923122184,0.4666666666666666,0.044444444444444446,0.19499406963586807,0.24980386358174017,0.16456207806413822,5
dinov2-base,Walker,0.7197247197247197,0.17740143885920373,0.7345238095238097,0.1846811924835414,0.208343243598938,0.4050180032414918,0.2617327375845476,5
